42,72,5692.84
31,85,6220.4
39,86,6652.04
38,49,3518.5
25,85,4775
25,42,2901
43,59,5768
13,18,0
45,83,6364.28
46,26,3189.4
38,61,4555
16,37,0
28,28,2099.9
20,9,0
35,76,5980.6
10,61,1920
31,21,2701
40,18,3328.99
40,62,5768
22,75,4177
8,41,0
32,23,2833
24,69,3534.6
12,54,0
12,42,0
32,52,3355
13,45,0
47,13,3443.17
45,15,3443.17
26,31,2142.75
44,78,6076.52
18,38,0
18,60,3142
37,7,1842.84
13,62,2160
8,25,0
45,22,2967.4
17,21,0
40,62,5768
17,36,0
9,53,0
20,41,1815.5
36,46,3246
34,62,4391.5
32,31,3185
15,24,0
17,31,0
17,7,0
14,29,0
16,14,0
13,29,0
38,73,5980.6
9,19,0
42,53,4664
37,48,3409.5
21,8,0
32,14,1957.12
14,16,0
18,27,0
11,44,0
19,64,3457
9,39,0
42,31,3233.8
27,61,3274.1
10,31,0
44,43,4228
12,19,0
30,72,4407
35,18,2357.1
12,15,0
14,48,0
9,85,3533
10,36,0
20,43,1941.7
37,39,3757
16,34,0
44,14,3328.99
27,18,0
36,54,3682
34,33,3361
31,45,2919
11,23,0
25,56,2909.4
31,41,2701
36,48,3355
23,37,2271.3
27,13,0
11,75,3117
46,75,6028.56
26,9,0
32,68,4609.5
42,44,4173.5
38,47,3409.5
47,20,3842.8
27,73,4315
42,40,3633.4
40,54,4609.5
43,68,6168.5
15,33,0
26,67,3534.6
38,80,6316.32
28,55,3541
10,72,2909
26,28,2014.2
25,55,3421
9,26,0
29,68,3743
25,15,0
8,25,0
11,58,1800
44,42,4173.5
33,45,3028
46,56,5768
40,42,3955.5
37,34,3537
42,35,3411.4
32,35,3361
26,36,2357
36,80,6220.4
44,40,3722.2
13,25,0
34,24,2965
47,16,3614.44
46,55,4991
38,76,6124.48
18,77,4441
23,31,2014.2
31,20,2242.82
33,81,6124.48
37,73,5932.64
27,72,4269
30,39,2656.95
47,10,3271.9
43,73,5788.76
47,18,3728.62
39,28,3361
20,27,0
20,48,2257.2
21,82,4453
40,80,5980.6
44,34,3455.8
38,35,3625
35,33,3405
27,31,2185.6
14,23,0
16,83,4657
28,45,3141
43,41,4064.5
16,14,0
12,26,0
43,68,6168.5
46,31,3411.4
34,83,6268.36
19,76,4441
9,40,0
13,54,0
11,38,0
8,12,0
20,51,2446.5
44,40,3722.2
29,66,3638.8
38,29,3361
34,85,6364.28
33,73,5740.8
22,17,0
12,25,0
22,28,1842.8
22,86,4683
31,28,3009
42,77,5932.64
24,64,3274.1
38,79,6268.36
44,18,3557.35
16,17,0
22,62,3065.7
24,57,2909.4
25,33,2185.6
25,18,0
31,18,2128.54
31,57,3955.5
9,73,2909
22,34,2099.9
13,33,0
17,40,0
13,75,3221
23,73,4131
15,24,0
44,85,6412.24
19,71,4171
36,68,4827.5
12,9,0
42,30,3189.4
24,41,2821
24,59,3013.6
41,66,5990.5
33,62,4337
12,50,0
35,41,2919
14,12,0
13,79,3429
47,11,3328.99
16,21,0
45,38,3677.8
26,86,4867
38,28,3317
19,69,3772
35,55,3682
30,28,2185.6
43,46,4337
23,43,2861
28,73,4361
18,18,0
33,26,3009
37,24,3097
27,34,2314.15
16,21,0
15,79,4387
45,68,6257.5
30,55,3621
41,24,2878.6
17,64,3331
23,65,3274.1
9,58,1680
41,17,3328.99
42,66,6035
8,8,0
43,59,5768
34,42,2919
46,48,4609.5
15,39,0
42,76,5884.68
38,53,3736.5
19,60,3205
25,25,1842.8
23,61,3065.7
35,29,3229
28,14,0
20,27,0
25,66,3430.4
40,19,3386.08
15,68,3457
19,24,0
12,85,3689
22,30,1928.5
34,9,1785.7
31,76,5788.76
8,36,0
30,34,2442.7
14,46,0
36,34,3493
27,55,3501
14,34,0
17,63,3268
12,85,3689
46,73,5932.64
41,52,4555
44,30,3278.2
29,60,3326.2
30,28,2185.6
41,31,3189.4
24,77,4361
16,69,3583
10,30,0
28,34,2357
29,63,3482.5
22,53,3221
37,50,3518.5
29,47,3261
33,22,2833
20,56,3016
11,28,0
25,75,4315
40,26,2923
40,60,5679
17,47,2004.8
43,51,4609.5
37,23,3053
8,34,0
19,48,2194.1
38,25,3185
31,67,4500.5
11,52,0
46,67,6257.5
40,70,6124
32,60,4173.5
39,34,3625
34,70,4827.5
35,17,2299.96
23,20,0
39,46,3409.5
38,47,3409.5
28,28,2099.9
19,21,0
10,78,3221
32,82,6124.48
44,31,3322.6
12,48,0
27,30,2142.75
12,74,3117
25,19,0
15,79,4387
32,77,5884.68
15,76,4225
20,62,3394
20,69,3835
25,62,3222
46,43,4337
28,22,1842.8
14,84,3741
8,9,0
31,34,3273
23,49,3101
23,9,0
45,12,3271.9
23,80,4453
15,49,2004.8
14,11,0
19,23,0
27,8,0
9,29,0
8,60,1740
12,24,0
47,12,3386.08
46,67,6257.5
11,83,3533
15,33,0
34,71,5692.84
